TradeID,Trader,Broker,Symbol,AccountID,AccountSize,StartegyName,Profile,Entry Type,Exit Type,Start Date,End Date,Trade Duration(m),Start Price,End Price,Contracts,Position size,Margin,Commission,Profit,Drawdown,Drawdown %,Run-up,Run-up %
Incubation1IBSIM001MNQM345012.5312900.50,Algo,IB,MNQM3,SIM001,5042,ReversalPnF,Incubation1,Long,Profit Target,27/03/2023 11:21,27/03/2023 12:45,83.52,12900.5,12921.5,1,25801,3000,2.5,39.5,-15.75,0,29.75,0
Incubation1IBSIM001MNQM345012.7912851.50,Algo,IB,MNQM3,SIM001,4941.5,ReversalPnF,Incubation1,Long,Stop Loss,27/03/2023 18:22,27/03/2023 18:53,31.27,12851.5,12801.25,1,25703,3000,2.5,-103,-90.25,0,6.25,0
Incubation1IBSIM001MNQM345012.9012802.00,Algo,IB,MNQM3,SIM001,4841.5,ReversalPnF,Incubation1,Short,Stop Loss,27/03/2023 21:10,27/03/2023 21:37,26.75,12802,12852,1,25604,3000,2.5,-102.5,-95.75,-0.37,1.75,0.01
Incubation1IBSIM001MNQM345012.9412833.25,Algo,IB,MNQM3,SIM001,4881.5,ReversalPnF,Incubation1,Short,Profit Target,27/03/2023 22:21,27/03/2023 22:37,15.2,12833.25,12813.25,1,25666.5,3000,2.5,37.5,-29.25,-0.11,30.75,0.12
LiveIBU11432757MNQM345012.4812895.50,Algo,IB,MNQM3,U11432757,1265.89,ReversalPnF,Live,Long,Profit Target,27/03/2023 11:10,27/03/2023 11:30,20,12895.5,12915.5,1,25791,3000,2.5,37.5,-13.25,0,23.75,0
LiveIBU11432757MNQM345012.7212906.50,Algo,IB,MNQM3,U11432757,1286.7,ReversalPnF,Live,Long,Profit Target,27/03/2023 17:10,27/03/2023 17:20,10,12906.5,12926.5,1,25813,3000,2.5,37.5,-23.75,0,26.75,0
LiveIBU11432757MNQM345012.8612816.00,Algo,IB,MNQM3,U11432757,1289.73,ReversalPnF,Live,Long,Long_Reg_exit,27/03/2023 19:30,27/03/2023 20:40,70,12816,12812.5,1,25632,3000,2.5,-9.5,-97.75,-0.38,3.25,0.01
LiveIBU11432757MNQM345012.9512823.75,Algo,IB,MNQM3,U11432757,1323.14,ReversalPnF,Live,Short,Profit Target,27/03/2023 21:10,27/03/2023 22:50,100,12823.75,12803.75,1,25647.5,3000,2.5,37.5,-91.75,-0.36,28.75,0.11
Incubation7BinanceB003BTCUSDT45013.9327272.80,Algo,Binance,BTCUSDT,B003,100016,ReversalPnF,Incubation7,Short,Profit Target,28/03/2023 22:11,28/03/2023 22:17,6.42,27272.8,27197.6,1000,27272.8,26000000,21.79,64.28,-28.11,0,61.79,0
Incubation7BinanceB003BTCUSDT45013.9527303.90,Algo,Binance,BTCUSDT,B003,99853.69,ReversalPnF,Incubation7,Short,Stop Loss,28/03/2023 22:46,28/03/2023 22:52,5.77,27303.9,27466.3,1000,27303.9,26000000,21.91,-173.33,-149.12,-0.55,4.78,0.02
Incubation7BinanceB002BTCUSDT45013.9327279.30,Algo,Binance,BTCUSDT,B002,100490.1,ReversalPnF,Incubation7,Short,L_Time_Exit,28/03/2023 22:09,28/03/2023 22:24,14.85,27279.3,27216.5,1000,27279.3,26000000,21.8,51.88,-21.61,0,115.89,0
Incubation7BinanceB002BTCUSDT45014.4028063.30,Algo,Binance,BTCUSDT,B002,100455.3,ReversalPnF,Incubation7,Short,L_Time_Exit,29/03/2023 09:31,29/03/2023 09:37,5.3,28063.3,28098.1,1000,28063.3,26000000,22.46,-46.04,-116.03,-0.43,-2.83,-0.01
